Transfer date,Description,Amount,Balance
10-May-25,Payment to  CIBC MASTERCARD,"($1,929.39)","$12,150.56 "
9-May-25,Transfer from  Simplii No Fee Simplii No Fee,"$2,062.37 ","$14,079.95 "
1-May-25,Direct deposit from AMD,"$2,170.06 ","$12,017.58 "
1-May-25,Account Credited from 301947887,$0.17 ,"$9,847.52 "
1-May-25,Interest received,$7.29 ,"$9,847.35 "
21-Apr-25,Card Load,($50),"$9,840.06 "
16-Apr-25,Direct deposit from AMD,"$2,170.06 ","$9,890.06 "
16-Apr-25,Card Load,($50),"$7,720 "
16-Apr-25,Card Load,($250),"$7,770 "
11-Apr-25,Transfer from  Referral Bonus Prime de recommandation,$20 ,"$8,020 "
9-Apr-25,Transfer from  Simplii High In Simplii High In,"$5,000 ","$8,000 "
6-Apr-25,Transfer from  Simplii High In Simplii High In,"$3,000 ","$3,000 "
